,School,Professor,Department,Rating,Rating Count
134,Pennsylvania State University,Apfelbaum Joseph,Music,2.1,8
135,Pennsylvania State University,Appel Molly,English,1.9,7
136,Pennsylvania State University,Appelman Alyssa,Communication,3.4,5
137,Pennsylvania State University,Applegate Patrick,Earth Science,2.0,1
138,Pennsylvania State University,Aradillas-Lopez Andres,Economics,3.2,6
139,Pennsylvania State University,Archangeli Melanie,Spanish,4.4,17
140,Pennsylvania State University,Arguelles Andrea,"Engineering, Science, & Mechanics",5.0,3
141,Pennsylvania State University,Aristarkhova Irin,Women's Studies,4.0,5
142,Pennsylvania State University,Armaou Antonios,Chemical Engineering,2.5,10
143,Pennsylvania State University,Armas Alexandra,Spanish,4.1,4
144,Pennsylvania State University,Armillas-Tiseyra Magali,Comparative Literature,3.6,7
145,Pennsylvania State University,Armstrong Dan,Music,4.5,3
146,Pennsylvania State University,Arnold Steven,Mathematics,1.4,24
147,Pennsylvania State University,Arora Sonny,Mathematics,4.8,4
148,Pennsylvania State University,Arriagada Carlos,Spanish,3.5,2
149,Pennsylvania State University,Arsie Alessandro,Mathematics,4.1,8
150,Pennsylvania State University,Arteca Richard,Horticulture,3.3,76
151,Pennsylvania State University,Artemiou Andreas,Statistics,4.8,10
152,Pennsylvania State University,Arthur Michael,Earth Science,4.4,39
153,Pennsylvania State University,Aryal Gaurab,Economics,2.6,12
154,Pennsylvania State University,Asbury John,Chemistry,2.9,91
155,Pennsylvania State University,Ashok Srivastava,Engineering,2.0,3
156,Pennsylvania State University,Assmann Sarah,Biological Sciences,3.7,10
157,Pennsylvania State University,Atkins Burton,Political Science,4.7,7
158,Pennsylvania State University,Attwell-Duval Dylan,Mathematics,3.0,11
159,Pennsylvania State University,Atwill David,History,3.9,38
160,Pennsylvania State University,Auday Eran,Psychology,4.0,1
161,Pennsylvania State University,August Avery,Veterinary Sciences,4.0,9
162,Pennsylvania State University,Auhl Richard,Aerospace Engineering,3.8,2
163,Pennsylvania State University,Aumiller Dane,Kinesiology,4.9,15
164,Pennsylvania State University,Aumiller Betsy,Behavioral Sciences,4.0,2
165,Pennsylvania State University,Aungst Stan,Computer Science,2.3,47
166,Pennsylvania State University,Aungst William,Communication Arts,5.0,1
167,Pennsylvania State University,Aurand Gary,Chemical Engineering,1.0,1
168,Pennsylvania State University,Ausherman James,English,4.4,23
169,Pennsylvania State University,Austin Kimberly,Business,4.8,29
170,Pennsylvania State University,Austin Stefanie,Mathematics,4.3,3
171,Pennsylvania State University,Authier J. Marc,French,4.4,13
172,Pennsylvania State University,Avery Julian,Animal Science,4.0,5
173,Pennsylvania State University,Aviles Reggie,Architecture,3.2,7
174,Pennsylvania State University,Avramova Maria,Engineering,3.2,6
175,Pennsylvania State University,Awadelkarim Osama,Engineering,3.7,20
176,Pennsylvania State University,Axtell Michael,Biological Sciences,3.5,28
177,Pennsylvania State University,Ayala Luis,Mineral Engineering,4.0,10
178,Pennsylvania State University,Ayan Bugra,Engineering Science amp Mechanics,5.0,2
179,Pennsylvania State University,Aydin Kultegin,Electrical Engineering,2.0,13
180,Pennsylvania State University,Azar Sandra,Psychology,2.4,27
181,Pennsylvania State University,Babb David,Earth Science,3.0,48
182,Pennsylvania State University,Babcock Edward,Accounting,4.4,36
183,Pennsylvania State University,Babcock Jan,English,4.2,35
184,Pennsylvania State University,Babich Andrea,English,3.9,6
185,Pennsylvania State University,Babitzke Paul,Biological Sciences,3.3,40
186,Pennsylvania State University,Babu G. Jogesh,Statistics,2.0,14
187,Pennsylvania State University,Bacastow Todd,Information Science,3.7,9
188,Pennsylvania State University,Bachner Andrea,Film,3.5,6
189,Pennsylvania State University,Backenstoe Thomas E.,Behavioral Sciences,4.3,31
190,Pennsylvania State University,Bacue Aaron,Communication,4.8,8
191,Pennsylvania State University,Badenhorst Paul,Curriculum  Instruction,4.5,1
192,Pennsylvania State University,Badenhorst Pauli,Education,4.5,2
193,Pennsylvania State University,Baderoon Gabeba,African-American Studies,4.3,9
194,Pennsylvania State University,Bae Young Han,Marketing,5.0,2
195,Pennsylvania State University,Bae-Dimitriadis Michelle,Art Education,3.2,5
196,Pennsylvania State University,Bagby John,Information Science,3.0,28
197,Pennsylvania State University,Bagyan Armine,Statistics,2.8,34
198,Pennsylvania State University,Bahnfleth William,Architectural Engineering,4.0,2
199,Pennsylvania State University,Bahry Donna,Political Science,4.5,8
200,Pennsylvania State University,Bai Qichuan,Mathematics,1.0,1
201,Pennsylvania State University,Bai Lu,Biochemistry,3.2,8
202,Pennsylvania State University,Bai Steve,Statistics,4.3,2
203,Pennsylvania State University,Bai Sunhye,Human Development,4.3,3
